ID,SampleID,StartTimeUTC,EndTimeUTC,StartTimeLocal,EndTimeLocal,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,Volume,Chamber,SetupID,a1,b1,c1,d1,e1,f1,a2,b2,c2,d2,e2,f2
5374,5439,2022-11-02 01:00:00,2022-11-02 02:00:00,2022-11-02 04:00:00,2022-11-02 05:00:00,254.08,4349.92,4388,1502,100,1,2886,1502,408.29,991.41,2,24,403.261764533017,-0.0129385143856364,0.00012029737614048,-0.00000203837092412203,0.00000000965844078552887,-0.000000000013465558193655,405.940347194669,0.0169055110233714,0.0000312581318360144,-0.000000738071798433202,0.00000000224423892257841,-0.00000000000155016730955224
5375,5440,2022-11-02 02:00:00,2022-11-02 03:00:00,2022-11-02 05:00:00,2022-11-02 06:00:00,234.31,4039.53,4075,1209,100,1,2866,1209,409.39,991.21,1,24,408.977582731243,-0.0257693950706355,0.000296282180302409,-0.00000328845281720694,0.0000000129581541935059,-0.0000000000162558650090062,407.838109993599,0.0193746220875541,-0.000141203517047645,0.000000492473708872803,-0.00000000103780703621189,0.00000000000151309063289708
5376,5441,2022-11-02 03:00:00,2022-11-02 04:00:00,2022-11-02 06:00:00,2022-11-02 07:00:00,204.61,3502.92,3534,1055,100,1,2479,1055,408.6,991.2,2,24,403.097534477178,-0.0196630177735111,0.000259219237636854,-0.0000027463851166721,0.000000010789460872722,-0.0000000000135693261920923,405.855708759757,0.0183221430528028,0.0000149081198746019,-0.0000007255929504283,0.00000000281033896257971,-0.00000000000291202776528746
5377,5442,2022-11-02 04:00:00,2022-11-02 05:00:00,2022-11-02 07:00:00,2022-11-02 08:00:00,226.58,3906.16,3951,1257,100,1,2694,1257,411.57,988.75,1,24,408.948067601332,-0.0247866057181061,0.0003180114636245,-0.00000365193645159118,0.0000000147850255604647,-0.000000000018945719168458,409.323051258029,0.0089191716175058,0.000135557737937753,-0.0000016583329451942,0.0000000060170956704555,-0.00000000000674272646181272
5378,5443,2022-11-02 05:00:00,2022-11-02 06:00:00,2022-11-02 08:00:00,2022-11-02 09:00:00,235.8,4036.95,4072,1729,100,1,2343,1729,411.2,991.38,2,24,405.727489882325,-0.0217010744226947,0.000356549621945262,-0.00000350167911056628,0.0000000131046298619951,-0.0000000000160239056127423,408.740141475843,0.0155065317551635,0.0000688310521741798,-0.00000117300748221833,0.00000000425700530185047,-0.00000000000456616822839844
5379,5444,2022-11-02 06:00:00,2022-11-02 07:00:00,2022-11-02 09:00:00,2022-11-02 10:00:00,217.45,3748.92,3783,1426,100,1,2357,1426,411,991.07,1,24,411.608197414285,-0.0123783665698528,-0.00000605016398834258,-0.000000981475232170954,0.00000000534070645024401,-0.00000000000719347851352416,409.971221778922,0.0030552894274818,0.000144314778093276,-0.0000016668779868977,0.00000000615515892319554,-0.00000000000731029246771886
5380,5445,2022-11-02 07:00:00,2022-11-02 08:00:00,2022-11-02 10:00:00,2022-11-02 11:00:00,273.58,4683.72,4723,2225,100,1,2498,2225,409.05,991.68,2,24,400.274251702048,-0.00702748182257879,0.000124665441708288,-0.00000197404192699683,0.00000000925684590341361,-0.0000000000128203589222012,406.147024367177,0.0168082615372013,0.0000756727297743146,-0.00000135014067045603,0.00000000521681411657395,-0.0000000000059671899213851
5381,5446,2022-11-02 08:00:00,2022-11-02 09:00:00,2022-11-02 11:00:00,2022-11-02 12:00:00,272.47,4697.3,4744,2121,93,1,2623,2121,412.12,990.06,1,24,410.558638331373,-0.00790011943382233,0.0000400683976745122,-0.00000162736923882645,0.00000000811292781991367,-0.0000000000111245164736402,410.414096484969,0.0115217663369396,0.000123611272969711,-0.0000018439732042946,0.0000000070505337680788,-0.00000000000828461210583842
5382,5447,2022-11-02 09:00:00,2022-11-02 10:00:00,2022-11-02 12:00:00,2022-11-02 13:00:00,242.12,4145.18,4185,1759,100,1,2426,1759,413.1,990.48,2,24,409.541395585943,-0.0230757851049412,0.000206713558290445,-0.00000255084422511687,0.000000010979141086487,-0.0000000000146454472344053,410.160478779454,0.0218347340440022,-0.0000527442055333145,-0.000000307582037862946,0.00000000189939700011685,-0.00000000000236927926046149
5383,5448,2022-11-02 10:00:00,2022-11-02 11:00:00,2022-11-02 13:00:00,2022-11-02 14:00:00,249.57,4302.64,4350,1636,100,1,2714,1636,415.51,989.14,1,24,414.293741408112,-0.012887623214988,0.0000354079373589451,-0.0000014684062147052,0.00000000780201693313877,-0.0000000000111761778861624,413.412511959104,0.0115806636844932,0.0000201409269848184,-0.000000324446590916059,0.000000000588219025017533,0.00000000000037531005494686
