TimeStamp,DataID,DataID2,DeviceID,DeviceData
2022-10-06 12:17:31.052315,16461305,16534442,18,10.1 97 993.4 9.7 0
2022-10-06 13:17:30.846448,16464964,16538041,18,11.1 94 993.1 10.2 0
2022-10-06 14:17:29.336714,16468623,16541640,18,11.7 91 993.2 10.3 0
2022-10-06 15:17:29.845685,16472283,16545240,18,12 92 993.1 10.8 0
2022-10-06 16:17:29.857542,16475943,16548840,18,12.1 90 992.8 10.5 0
2022-10-06 17:17:29.871558,16479604,16552441,18,11.7 90 992.9 10.3 0
2022-10-06 18:17:29.870819,16483264,16556041,18,11.5 92 992.9 10.3 0
2022-10-06 19:17:29.850484,16486924,16559641,18,11.5 92 992.9 10.3 0
2022-10-06 20:17:29.847687,16490584,16563241,18,11.4 93 992.6 10.5 0
2022-10-06 21:17:30.059530,16494244,16566841,18,11.5 95 992 10.7 0
2022-10-06 22:17:29.864697,16497904,16570441,18,11.2 96 991.8 10.6 0
2022-10-06 23:17:29.874425,16501564,16574041,18,11.3 95 991.8 10.7 0
2022-10-07 00:17:29.857349,16505224,16577641,18,11.5 96 991.5 11 0
2022-10-07 01:17:29.866332,16508884,16581241,18,11.2 100 991.8 11.2 0
2022-10-07 02:17:29.829866,16512544,16584841,18,11.4 99 992.2 11.4 0
2022-10-07 03:17:29.856424,16516204,16588441,18,11.2 99 992.6 11.1 0
2022-10-07 04:17:29.869137,16519864,16592041,18,10.7 98 993 10.6 0
2022-10-07 05:17:29.869013,16523524,16595641,18,10.4 99 993.7 10.3 0
2022-10-07 06:17:29.850223,16527184,16599241,18,10.2 98 994 10 0
2022-10-07 07:17:29.855266,16530844,16602841,18,10.1 96 994.5 9.6 0
2022-10-07 08:17:30.063149,16534505,16606442,18,10.9 93 995.3 9.9 0
2022-10-07 09:17:29.849733,16538164,16610041,18,11.4 89 995.8 9.7 0
2022-10-07 10:17:30.067485,16541825,16613642,18,11.4 84 996.9 9 0
2022-10-07 11:17:29.869408,16545484,16617241,18,11.6 84 997.1 9 0
2022-10-07 12:17:30.232839,16549072,16620769,18,12.5 77 997.5 8.6 0
2022-10-07 13:17:29.797647,16552731,16624368,18,12.6 73 997.6 8 0
2022-10-07 14:17:29.666852,16556391,16627968,18,13.2 73 997.5 8.6 0
2022-10-07 15:17:30.180371,16560052,16631569,18,13.1 71 998 8 0
2022-10-07 16:17:30.164998,16563712,16635169,18,12.8 72 998.3 8 0
2022-10-07 17:17:30.175259,16567372,16638769,18,12.4 71 998.4 7.5 0
2022-10-07 18:17:30.186261,16571032,16642369,18,11.6 77 998.7 7.8 0
2022-10-07 19:17:30.183323,16574692,16645969,18,11.4 81 999.1 8.3 0
2022-10-07 20:17:30.177165,16578352,16649569,18,10.7 85 999.4 8.4 0
2022-10-07 21:17:30.162906,16582012,16653169,18,10.1 88 999.5 8.2 0
2022-10-07 22:17:30.195777,16585672,16656769,18,9.9 88 999.9 8.1 0
2022-10-07 23:17:30.180236,16589332,16660369,18,9.6 91 1000 8.3 0
2022-10-08 00:17:30.176404,16592992,16663969,18,9.1 94 1000.2 8.2 0
2022-10-08 01:17:30.187819,16596653,16667570,18,8.8 95 1000.2 8.2 0
2022-10-08 02:17:30.190125,16600313,16671170,18,8.7 97 1000.3 8.2 0
2022-10-08 03:17:30.182519,16603973,16674770,18,8.5 98 1000 8.3 0
2022-10-08 04:17:30.195227,16607633,16678370,18,8.7 97 1000.1 8.3 0
2022-10-08 05:17:30.174287,16611293,16681970,18,8.7 97 1000.2 8.3 0
2022-10-08 06:17:30.202264,16614953,16685570,18,8.9 96 1000.1 8.3 0
2022-10-08 07:17:30.167039,16618613,16689170,18,9.3 94 1000.1 8.4 0
2022-10-08 08:17:30.187082,16622273,16692770,18,9.6 93 1000.5 8.5 0
2022-10-08 09:17:30.388404,16625933,16696370,18,10.2 90 1000.5 8.7 0
2022-10-08 10:17:30.197057,16629593,16699970,18,13.6 72 1000.6 8.6 0
2022-10-08 11:17:30.188198,16633253,16703570,18,14.4 68 1000.2 8.7 0
2022-10-08 12:17:30.187037,16636913,16707170,18,14.3 65 999.7 7.9 0
2022-10-08 13:17:30.193146,16640573,16710770,18,14.8 59 999.1 7 0
2022-10-08 14:17:29.674826,16644233,16714370,18,15.1 59 998.5 7.3 0
2022-10-08 15:17:30.218426,16647893,16717970,18,15.3 58 997.7 7.2 0
2022-10-08 16:17:30.203644,16651553,16721570,18,14.5 60 997.1 6.9 0
2022-10-08 17:17:30.192005,16655213,16725170,18,13.6 65 996.8 7.3 0
2022-10-08 18:17:30.206260,16658873,16728770,18,12.6 69 996.5 7.2 0
2022-10-08 19:17:30.211235,16662533,16732370,18,12.4 72 996.4 7.6 0
2022-10-08 20:17:30.219637,16666193,16735970,18,12.1 73 996.1 7.5 0
2022-10-08 21:17:30.239438,16669854,16739571,18,11.9 75 995.7 7.6 0
2022-10-08 22:17:30.230269,16673514,16743171,18,11.3 78 995.8 7.6 0
2022-10-08 23:17:30.214691,16677174,16746771,18,10.6 82 995.8 7.7 0
2022-10-09 00:17:30.193241,16680834,16750371,18,10.6 82 995.7 7.7 0
2022-10-09 01:17:30.200804,16684494,16753971,18,10.3 85 995.3 8 0
2022-10-09 02:17:30.211562,16688154,16757571,18,9.8 88 994.7 8 0
2022-10-09 03:17:30.191146,16691814,16761171,18,9.5 89 994.2 7.9 0
2022-10-09 04:17:30.224252,16695474,16764771,18,9.2 91 994 7.9 0
2022-10-09 05:17:30.213816,16699134,16768371,18,8.9 92 993.6 7.7 0
2022-10-09 06:17:30.204206,16702794,16771971,18,8.8 92 993.2 7.6 0
2022-10-09 07:17:30.421741,16706454,16775571,18,8.8 91 992.5 7.4 0
2022-10-09 08:17:30.210602,16710114,16779171,18,9.3 88 992.1 7.5 0
2022-10-09 09:17:30.409314,16713774,16782771,18,10.7 81 992.3 7.7 0
2022-10-09 10:17:30.221192,16717434,16786371,18,13.1 71 992 8 0
2022-10-09 11:17:30.208192,16721094,16789971,18,15 63 991.6 8 0
2022-10-09 12:17:30.422118,16724755,16793572,18,16.2 56 991.2 7.5 0
2022-10-09 13:17:30.198897,16728414,16797171,18,16.5 52 990.9 6.8 0
2022-10-09 14:17:29.755503,16732074,16800771,18,16.7 50 990.6 6.4 0
2022-10-09 15:17:30.240605,16735735,16804372,18,16 52 990.8 6.3 0
2022-10-09 16:17:30.249241,16739395,16807972,18,13.2 74 991.6 8.7 0
2022-10-09 17:17:30.248579,16743055,16811572,18,11.7 86 991.6 9.5 0
2022-10-09 18:17:30.246686,16746715,16815172,18,10.7 99 992.3 10.5 0
2022-10-09 19:17:30.248388,16750375,16818772,18,10.4 100 992.7 10.4 0
2022-10-09 20:17:30.265598,16754035,16822372,18,10.2 100 992.8 10.2 0
2022-10-09 21:17:30.230845,16757695,16825972,18,10.1 100 993 10.1 0
2022-10-09 22:17:30.275194,16761355,16829572,18,10.1 100 993.6 10.1 0
2022-10-09 23:17:30.251615,16765015,16833172,18,10.1 100 993.7 10.1 0
2022-10-10 00:17:30.257896,16768675,16836772,18,10 100 993.7 10 0
2022-10-10 01:17:30.251675,16772335,16840372,18,9.7 98 994.4 9.5 0
2022-10-10 02:17:30.263616,16775995,16843972,18,9.6 97 994.9 9.1 0
2022-10-10 03:17:30.254689,16779655,16847572,18,9.5 96 995.2 9.1 0
2022-10-10 04:17:30.243671,16783315,16851172,18,9.4 91 995.7 8.1 0
2022-10-10 05:17:30.461195,16786975,16854772,18,9.3 92 996.6 8.1 0
2022-10-10 06:17:30.248900,16790635,16858372,18,9.1 91 997 7.7 0
2022-10-10 07:17:30.241378,16794295,16861972,18,9 91 997.8 7.6 0
2022-10-10 08:17:30.235077,16797955,16865572,18,8.7 90 998.6 7.2 0
2022-10-10 09:17:30.265448,16801616,16869173,18,9 87 999.1 7 0
2022-10-10 10:17:30.238851,16805275,16872772,18,10 82 999.5 7 0
2022-10-10 11:17:30.233551,16808936,16876373,18,11.1 77 999.6 7.3 0
2022-10-10 12:17:30.456026,16812596,16879973,18,12.2 58 999.8 4.3 0
2022-10-10 13:17:30.240856,16816256,16883573,18,12.9 55 1000 4.2 0
2022-10-10 14:17:29.746227,16819915,16887172,18,12.7 51 999.9 2.8 0
2022-10-10 15:17:30.281690,16823576,16890773,18,11.8 59 1000.1 4.2 0
2022-10-10 16:17:30.261394,16827236,16894373,18,11.1 66 1000.2 5 0
2022-10-10 17:17:30.260969,16830896,16897973,18,9.8 74 1000.4 5.4 0
2022-10-10 18:17:30.261368,16834556,16901573,18,8.9 79 1000.6 5.5 0
2022-10-10 19:17:30.273790,16838216,16905173,18,8.3 79 1000.8 5 0
