DataID,TimeStamp,DeviceID,DeviceData
16469640,2022-10-05 18:17:30.830583,18,7.4 94 990.8 6.6 0
16473240,2022-10-05 19:17:30.821206,18,7.3 93 991.3 6.3 0
16476840,2022-10-05 20:17:30.831120,18,6.9 92 991.6 5.8 0
16480441,2022-10-05 21:17:31.045928,18,6.6 94 991.8 5.8 0
16484041,2022-10-05 22:17:30.842252,18,6.3 95 992 5.7 0
16487641,2022-10-05 23:17:30.848720,18,6.8 97 992.1 6.4 0
16491241,2022-10-06 00:17:30.837098,18,6.7 99 992.2 6.7 0
16494841,2022-10-06 01:17:30.842608,18,6.8 100 992.7 6.8 0
16498441,2022-10-06 02:17:30.848458,18,7 100 992.7 7 0
16502041,2022-10-06 03:17:30.855059,18,7.2 100 992.8 7.2 0
16505641,2022-10-06 04:17:30.824335,18,7.4 100 992.9 7.4 0
16509241,2022-10-06 05:17:30.845662,18,7.6 99 992.6 7.5 0
16512841,2022-10-06 06:17:30.841341,18,7.7 100 993 7.7 0
16516441,2022-10-06 07:17:30.834038,18,7.9 100 993.1 7.9 0
16520041,2022-10-06 08:17:31.027889,18,8.2 100 993.4 8.2 0
16523641,2022-10-06 09:17:30.846515,18,8.8 99 993.4 8.7 0
16527241,2022-10-06 10:17:30.805800,18,9.1 100 993.5 9.1 0
16530841,2022-10-06 11:17:30.831755,18,9.9 96 993.2 9.4 0
16534442,2022-10-06 12:17:31.052315,18,10.1 97 993.4 9.7 0
16538041,2022-10-06 13:17:30.846448,18,11.1 94 993.1 10.2 0
16541640,2022-10-06 14:17:29.336714,18,11.7 91 993.2 10.3 0
16545240,2022-10-06 15:17:29.845685,18,12 92 993.1 10.8 0
16548840,2022-10-06 16:17:29.857542,18,12.1 90 992.8 10.5 0
16552441,2022-10-06 17:17:29.871558,18,11.7 90 992.9 10.3 0
16556041,2022-10-06 18:17:29.870819,18,11.5 92 992.9 10.3 0
16559641,2022-10-06 19:17:29.850484,18,11.5 92 992.9 10.3 0
16563241,2022-10-06 20:17:29.847687,18,11.4 93 992.6 10.5 0
16566841,2022-10-06 21:17:30.059530,18,11.5 95 992 10.7 0
16570441,2022-10-06 22:17:29.864697,18,11.2 96 991.8 10.6 0
16574041,2022-10-06 23:17:29.874425,18,11.3 95 991.8 10.7 0
16577641,2022-10-07 00:17:29.857349,18,11.5 96 991.5 11 0
16581241,2022-10-07 01:17:29.866332,18,11.2 100 991.8 11.2 0
16584841,2022-10-07 02:17:29.829866,18,11.4 99 992.2 11.4 0
16588441,2022-10-07 03:17:29.856424,18,11.2 99 992.6 11.1 0
16592041,2022-10-07 04:17:29.869137,18,10.7 98 993 10.6 0
16595641,2022-10-07 05:17:29.869013,18,10.4 99 993.7 10.3 0
16599241,2022-10-07 06:17:29.850223,18,10.2 98 994 10 0
16602841,2022-10-07 07:17:29.855266,18,10.1 96 994.5 9.6 0
16606442,2022-10-07 08:17:30.063149,18,10.9 93 995.3 9.9 0
16610041,2022-10-07 09:17:29.849733,18,11.4 89 995.8 9.7 0
16613642,2022-10-07 10:17:30.067485,18,11.4 84 996.9 9 0
16617241,2022-10-07 11:17:29.869408,18,11.6 84 997.1 9 0
16620769,2022-10-07 12:17:30.232839,18,12.5 77 997.5 8.6 0
16624368,2022-10-07 13:17:29.797647,18,12.6 73 997.6 8 0
16627968,2022-10-07 14:17:29.666852,18,13.2 73 997.5 8.6 0
16631569,2022-10-07 15:17:30.180371,18,13.1 71 998 8 0
16635169,2022-10-07 16:17:30.164998,18,12.8 72 998.3 8 0
16638769,2022-10-07 17:17:30.175259,18,12.4 71 998.4 7.5 0
16642369,2022-10-07 18:17:30.186261,18,11.6 77 998.7 7.8 0
16645969,2022-10-07 19:17:30.183323,18,11.4 81 999.1 8.3 0
16649569,2022-10-07 20:17:30.177165,18,10.7 85 999.4 8.4 0
16653169,2022-10-07 21:17:30.162906,18,10.1 88 999.5 8.2 0
16656769,2022-10-07 22:17:30.195777,18,9.9 88 999.9 8.1 0
16660369,2022-10-07 23:17:30.180236,18,9.6 91 1000 8.3 0
16663969,2022-10-08 00:17:30.176404,18,9.1 94 1000.2 8.2 0
16667570,2022-10-08 01:17:30.187819,18,8.8 95 1000.2 8.2 0
16671170,2022-10-08 02:17:30.190125,18,8.7 97 1000.3 8.2 0
16674770,2022-10-08 03:17:30.182519,18,8.5 98 1000 8.3 0
16678370,2022-10-08 04:17:30.195227,18,8.7 97 1000.1 8.3 0
16681970,2022-10-08 05:17:30.174287,18,8.7 97 1000.2 8.3 0
16685570,2022-10-08 06:17:30.202264,18,8.9 96 1000.1 8.3 0
16689170,2022-10-08 07:17:30.167039,18,9.3 94 1000.1 8.4 0
16692770,2022-10-08 08:17:30.187082,18,9.6 93 1000.5 8.5 0
16696370,2022-10-08 09:17:30.388404,18,10.2 90 1000.5 8.7 0
16699970,2022-10-08 10:17:30.197057,18,13.6 72 1000.6 8.6 0
16703570,2022-10-08 11:17:30.188198,18,14.4 68 1000.2 8.7 0
16707170,2022-10-08 12:17:30.187037,18,14.3 65 999.7 7.9 0
16710770,2022-10-08 13:17:30.193146,18,14.8 59 999.1 7 0
16714370,2022-10-08 14:17:29.674826,18,15.1 59 998.5 7.3 0
16717970,2022-10-08 15:17:30.218426,18,15.3 58 997.7 7.2 0
16721570,2022-10-08 16:17:30.203644,18,14.5 60 997.1 6.9 0
16725170,2022-10-08 17:17:30.192005,18,13.6 65 996.8 7.3 0
16728770,2022-10-08 18:17:30.206260,18,12.6 69 996.5 7.2 0
16732370,2022-10-08 19:17:30.211235,18,12.4 72 996.4 7.6 0
16735970,2022-10-08 20:17:30.219637,18,12.1 73 996.1 7.5 0
16739571,2022-10-08 21:17:30.239438,18,11.9 75 995.7 7.6 0
16743171,2022-10-08 22:17:30.230269,18,11.3 78 995.8 7.6 0
16746771,2022-10-08 23:17:30.214691,18,10.6 82 995.8 7.7 0
16750371,2022-10-09 00:17:30.193241,18,10.6 82 995.7 7.7 0
16753971,2022-10-09 01:17:30.200804,18,10.3 85 995.3 8 0
16757571,2022-10-09 02:17:30.211562,18,9.8 88 994.7 8 0
16761171,2022-10-09 03:17:30.191146,18,9.5 89 994.2 7.9 0
16764771,2022-10-09 04:17:30.224252,18,9.2 91 994 7.9 0
16768371,2022-10-09 05:17:30.213816,18,8.9 92 993.6 7.7 0
16771971,2022-10-09 06:17:30.204206,18,8.8 92 993.2 7.6 0
16775571,2022-10-09 07:17:30.421741,18,8.8 91 992.5 7.4 0
16779171,2022-10-09 08:17:30.210602,18,9.3 88 992.1 7.5 0
16782771,2022-10-09 09:17:30.409314,18,10.7 81 992.3 7.7 0
16786371,2022-10-09 10:17:30.221192,18,13.1 71 992 8 0
